rtm_doc,rtm_item,rtm_status,type,v3_ids,note
18-写真解析,FR-18-10 類似検索（cosine + size_similarity）,部分実装,absorbed,V3-OBS-10;V3-OBS-11,類似検索(cosine+size_similarity)はV3-OBS-10+OBS-11(rerank重み)に吸収
19-コンポーネント掲示板,FR-19-01/02 file-board linkage（1正本1スレ・レジストリCSV）,人間ゲート,changed,V3-AIP-93;V3-AIP-37;V3-BBS-26,file-board linkage(1正本1スレ)はV3でGitHub component board(AIP-37 C-Sync不採用)へ変更、linkage概念はAIP-93に残存
19-コンポーネント掲示板,IHL版: GitHub component BBS（05-GitHub運用-コンポーネント掲示板.md §6）,実装済み,absorbed,V3-BBS-26;V3-AIP-37,GitHub component BBSはV3-BBS-26(Discussions/Issues柱)+AIP-37に吸収
19-コンポーネント掲示板,製品掲示板（開発者/一般ユーザー投稿スレ・カテゴリ）,実装済み,absorbed,V3-BBS-02;V3-BBS-25,製品掲示板(開発者/一般投稿スレ)はV3-BBS-02+BBS-25に吸収
19-コンポーネント掲示板,FR-19-07 コンポーネントUUID/fork単位の議論スレUI・graph editorとの役割分担,人間ゲート,absorbed,V3-BBS-16;V3-BBS-29;V3-UIX-12,コンポーネントUUID/fork単位の議論スレUIはV3-BBS-16+BBS-29+UIX-12に吸収
20-投票-プラチナコイン-自然淘汰,FR-20-01 投票対象範囲（レイヤー0-3、レイヤー4除外）,実装済み,absorbed,V3-MKT-35;V3-GOV-22,投票対象範囲(レイヤー0-3/4除外)はV3-MKT-35+GOV-22に吸収
20-投票-プラチナコイン-自然淘汰,FR-20-02 プラチナ投票UI（EconomyVotePage相当）,実装済み,absorbed,V3-MKT-35;V3-KRM-25,プラチナ投票UIはV3-MKT-35+KRM-25に吸収
20-投票-プラチナコイン-自然淘汰,FR-20-04 貢献度→プラチナ換算・上流10%配分（依存グラフ祖先分配）,未実装,absorbed,V3-KRM-11;V3-KRM-10,貢献度→プラチナ換算/上流10%配分はV3-KRM-11+KRM-10に吸収
20-投票-プラチナコイン-自然淘汰,FR-20-05 自然淘汰（使用率・投票・いいね等の総合指標）,未実装,absorbed,V3-KRM-20;V3-GOV-23,自然淘汰(総合指標)はV3-KRM-20+GOV-23に吸収
20-投票-プラチナコイン-自然淘汰,FR-20-09 免罪符（プラチナマーケット・カルマ-1・Fib価格）,実装済み,absorbed,V3-MKT-33;V3-KRM-05,免罪符(プラチナマーケット/カルマ-1/Fib)はV3-MKT-33+KRM-05に吸収
20-投票-プラチナコイン-自然淘汰,FR-20-06 商用マーク3%還元・FR-20-08 改善案テンプレ自動選択,未実装,absorbed,V3-MKT-36;V3-KRM-24,商用マーク3%還元/改善案テンプレ自動選択はV3-MKT-36+KRM-24に吸収
20-投票-プラチナコイン-自然淘汰,GMO本番入金（REQ-007）,人間ゲート,absorbed,V3-MKT-15,GMO本番入金(REQ-007)はV3-MKT-15(人間ゲート)に吸収
21-翻訳-言語,FR-I18N-SET-01/02 設定画面での言語変更・PATCH /me/preferences,実装済み,absorbed,V3-I18-03;V3-I18-01,設定画面での言語変更/PATCHはV3-I18-03+I18-01に吸収
21-翻訳-言語,FR-I18N-UI-02 未対応locale時フォールバックチェーン,実装済み,absorbed,V3-I18-10;V3-I18-08,未対応locale時フォールバックチェーンはV3-I18-10+I18-08に吸収
21-翻訳-言語,FR-I18N-REG-01〜04 オンボーディング時locale必須選択,部分実装,absorbed,V3-I18-02;V3-I18-04,オンボーディング時locale必須選択はV3-I18-02+I18-04に吸収
21-翻訳-言語,FR-I18N-UGC-01〜05 掲示板/二人部屋UGCのクライアント側翻訳表示,人間ゲート,absorbed,V3-I18-06;V3-I18-07,UGCクライアント側翻訳表示はV3-I18-06/07に吸収
21-翻訳-言語,NFR-I18N-03 クライアント翻訳の第三者SaaS送信最小化・同意,人間ゲート,absorbed,V3-I18-06;V3-SEC-39,クライアント翻訳の第三者SaaS送信最小化/同意はV3-I18-06+SEC-39に吸収
22-プラチナコインマーケット.md,FR-PTMKT-01/02/03: 認証購入・免罪符カルマ-1・R2 INSERT ONLY,実装済み,absorbed,V3-MKT-32;V3-MKT-33;V3-KRM-05,認証購入/免罪符カルマ-1/INSERT ONLYはV3-MKT-32/33+KRM-05に吸収
22-プラチナコインマーケット.md,FR-PTMKT-04: PT単一台帳（投票・指摘課金と残高共有）,部分実装,absorbed,V3-MKT-32,PT単一台帳(投票/指摘/shop残高共有)はV3-MKT-32に吸収
22-プラチナコインマーケット.md,FR-PTMKT-05/07/08: Fibonacci段階価格モデル・上限なし・価格段階nの表示,人間ゲート,absorbed,V3-MKT-33,Fibonacci段階価格/上限なし/段階n表示はV3-MKT-33に吸収
22-プラチナコインマーケット.md,§5.5 GMO入金→PT発行（deriveTransferCode 共有・issueCoin）,人間ゲート,absorbed,V3-MKT-12;V3-MKT-14,GMO入金→PT発行(deriveTransferCode共有/issueCoin)はV3-MKT-12+MKT-14に吸収
22-プラチナコインマーケット.md,設計ゲート4点（要件/詳細/遷移/UI）人間確定,未実装,absorbed,V3-AIP-05,設計ゲート4点はV3-AIP-05に吸収
23-GMO銀行振込判定.md,FR-GMO-01/05: Webhook受信・署名検証・deriveTransferCode(userId)生成,実装済み,absorbed,V3-MKT-14;V3-MKT-12,Webhook受信/署名検証/deriveTransferCodeはV3-MKT-14+MKT-12に吸収
23-GMO銀行振込判定.md,FR-GMO-02: 振込コード+金額+日時FIFOによる複数pending照合（U-GMO-06）,部分実装,absorbed,V3-MKT-14;V3-MKT-12,振込コード+金額+日時FIFO複数pending照合はV3-MKT-14(冪等match_pending)+MKT-12に吸収
23-GMO銀行振込判定.md,FR-GMO-03: 取引成立後の8%期待入金登録・fee_unpaid停止,人間ゲート,absorbed,V3-MKT-10,取引成立後8%期待入金登録/fee_unpaid停止はV3-MKT-10に吸収
23-GMO銀行振込判定.md,FR-GMO-08/09/10: 部分入金・過入金クレジット・返金不可,人間ゲート,absorbed,V3-MKT-13,部分入金/過入金クレジット/返金不可はV3-MKT-13に吸収
23-GMO銀行振込判定.md,FR-GMO-07: 本番鍵・実入金証跡,人間ゲート,absorbed,V3-MKT-15,本番鍵/実入金証跡はV3-MKT-15(恒久的人間ゲート)に吸収
23-GMO銀行振込判定.md,NFR-GMO-01: Webhook署名不一致401,実装済み,absorbed,V3-MKT-14;V3-AUT-19,Webhook署名不一致401はV3-MKT-14+AUT-19に吸収
24-記事・ブログ-v1-DRAFT.md,知の広場ハブ `/knowledge`（掲示板・記事・ブログ3タブ）,人間ゲート,absorbed,V3-BBS-01;V3-WIK-16;V3-UIX-52,知の広場ハブ/knowledge(3タブ)はV3-BBS-01+WIK-16+UIX-52に吸収
24-記事・ブログ-v1-DRAFT.md,FR-ART-01〜04: コンテンツ共通スキーマ・R2 INSERT ONLY・下書き/公開・XSSフィルタ,未実装,absorbed,V3-WIK-16;V3-AUT-39;V3-SEC-39,コンテンツ共通スキーマ/INSERT ONLY/下書き公開/XSSはV3-WIK-16+AUT-39+SEC-39に吸収
24-記事・ブログ-v1-DRAFT.md,FR-ART-05〜08: 記事の論文/観測引用・一覧・推薦,未実装,absorbed,V3-WIK-16;V3-PPR-08;V3-WIK-35,記事の論文/観測引用/一覧/推薦はV3-WIK-16+PPR-08+WIK-35に吸収
24-記事・ブログ-v1-DRAFT.md,FR-BLOG-01〜03: ブログの個体/観測紐付け,未実装,absorbed,V3-WIK-16;V3-PPR-08,ブログの個体/観測紐付けはV3-WIK-16+PPR-08に吸収
25-AI要約-GitHub改善掲示板-v1-DRAFT.md,FR-AISUM-01〜05: GitHub Issues収集バッチ・LLM要約・R2保存,未実装,absorbed,V3-AIP-67,GitHub Issues収集バッチ/LLM要約/R2保存はV3-AIP-67に吸収
25-AI要約-GitHub改善掲示板-v1-DRAFT.md,FR-AISUM-06〜09: 掲示板表示・sourceフィルタ・コメント,未実装,absorbed,V3-AIP-67;V3-BBS-26,掲示板表示/sourceフィルタ/コメントはV3-AIP-67+BBS-26に吸収
25-AI要約-GitHub改善掲示板-v1-DRAFT.md,FR-AISUM-10/11: 設定ファイル管理・admin手動sync,未実装,absorbed,V3-AIP-67;V3-GOV-17,設定ファイル管理/admin手動syncはV3-AIP-67+GOV-17に吸収
26-サンドボックス環境-v1-DRAFT.md,FR-SBX-30〜34: Personal Sandbox Realm（fork・R2 sandbox/名前空間・削除）,未実装,absorbed,V3-FND-31;V3-SEC-10,Personal Sandbox Realm(fork/R2 namespace/削除)はV3-FND-31+UIX-48+SEC-10に吸収
26-サンドボックス環境-v1-DRAFT.md,FR-SBX-40〜44: 改善テンプレート（.sbx.jsonエクスポート・コミュニティ共有・diffプレビュー）,未実装,absorbed,V3-FND-31;V3-WIK-32,改善テンプレート(.sbx.jsonエクスポート/共有/diff)はV3-UIX-48+WIK-32+FND-31に吸収
26-サンドボックス環境-v1-DRAFT.md,FR-SBX-50〜55: Promoteパイプライン（micro-waterfall Gate・投票・admin Merge）,未実装,absorbed,V3-AIP-68;V3-FND-31;V3-AIP-52,Promoteパイプライン(micro-waterfall/投票/admin Merge)はV3-AIP-68+UIX-48+AIP-52に吸収
26-サンドボックス環境-v1-DRAFT.md,FR-SBX-60〜73: UI/UX要件（amberストリップ・3クリック・アクセス制御）,未実装,absorbed,V3-UIX-49,サンドボックスUI/UX(amberストリップ/3クリック/アクセス制御)はV3-UIX-49に吸収
27-ランニングコスト透明性-v1-DRAFT.md,FR-COST-01〜03: Sakura VPS費用手動入力・設定ファイル既定値,未実装,absorbed,V3-CST-02;V3-CST-04,Sakura VPS費用手動入力/設定既定値はV3-CST-02+CST-04に吸収
27-ランニングコスト透明性-v1-DRAFT.md,FR-COST-04〜07: Cloudflare R2使用量API取得・費用自動計算,未実装,absorbed,V3-CST-02;V3-MKT-49,Cloudflare R2使用量API取得/費用自動計算はV3-CST-02+MKT-49に吸収
27-ランニングコスト透明性-v1-DRAFT.md,FR-COST-08〜11: `/costs`ダッシュボード（全認証ユーザー閲覧・推移グラフ）,未実装,absorbed,V3-CST-02,/costsダッシュボード(全認証ユーザー閲覧/推移)はV3-CST-02に吸収
27-ランニングコスト透明性-v1-DRAFT.md,FR-COST-12/13: `/admin/costs` 管理画面（admin限定入力）,未実装,absorbed,V3-CST-02;V3-GOV-17,/admin/costs管理画面(admin限定入力)はV3-CST-02+GOV-17に吸収
28-個体命名・ブランドテンプレート-v1-DRAFT.md,IND-NAME-01〜04: display_name表示・命名イベント追記・改名履歴,実装済み,absorbed,V3-IND-03;V3-IND-04,display_name表示/命名イベント追記/改名履歴はV3-IND-03+IND-04に吸収
28-個体命名・ブランドテンプレート-v1-DRAFT.md,IND-NAME-05〜08: brand_templateの作成・選択・更新・論理削除,実装済み,absorbed,V3-IND-03;V3-IND-04,brand_template作成/選択/更新/論理削除はV3-IND-03+IND-04に吸収
28-個体命名・ブランドテンプレート-v1-DRAFT.md,IND-NAME-09〜12: 血統表示（♂/♀+display_name）・玉→王昇格イベント,部分実装,absorbed,V3-IND-05;V3-IND-06,血統表示(♂♀+display_name)/玉→王昇格はV3-IND-05+IND-06に吸収
28-個体命名・ブランドテンプレート-v1-DRAFT.md,IND-NFR-02: 同一ユーザー×同一series内の現行display_name重複防止,実装済み,absorbed,V3-IND-03;V3-IND-04,同一ユーザー×series内display_name重複防止はV3-IND-03+IND-04に吸収
